       7.59440e+00       6.58363e-07
       1.51890e+01       6.58363e-07
       2.27830e+01       1.31673e-06
       3.03780e+01       4.60854e-06
       3.79720e+01       1.18505e-05
       4.55660e+01       1.71174e-05
       5.31610e+01       3.48932e-05
       6.07550e+01       6.91281e-05
       6.83500e+01       1.33648e-04
       7.59440e+01       2.06067e-04
       8.35380e+01       3.56174e-04
       9.11330e+01       5.58291e-04
       9.87270e+01       8.43362e-04
       1.06320e+02       1.31409e-03
       1.13920e+02       1.85000e-03
       1.21510e+02       2.50309e-03
       1.29100e+02       3.34580e-03
       1.36700e+02       4.48542e-03
       1.44290e+02       5.55658e-03
       1.51890e+02       6.65275e-03
       1.59480e+02       7.82332e-03
       1.67080e+02       8.78453e-03
       1.74670e+02       9.50807e-03
       1.82270e+02       9.81684e-03
       1.89860e+02       1.00776e-02
       1.97450e+02       9.70492e-03
       2.05050e+02       9.13083e-03
       2.12640e+02       8.12354e-03
       2.20240e+02       6.97403e-03
       2.27830e+02       5.97266e-03
       2.35430e+02       4.89427e-03
       2.43020e+02       3.75530e-03
       2.50620e+02       2.93037e-03
       2.58210e+02       2.15350e-03
       2.65800e+02       1.46354e-03
       2.73400e+02       9.88202e-04
       2.80990e+02       6.55729e-04
       2.88590e+02       3.99626e-04
       2.96180e+02       2.42277e-04
       3.03780e+02       1.47473e-04
       3.11370e+02       8.82206e-05
       3.18960e+02       4.41103e-05
       3.26560e+02       2.56761e-05
       3.34150e+02       1.11922e-05
       3.41750e+02       4.60854e-06
       3.49340e+02       1.31673e-06
       3.56940e+02       3.95018e-06
       3.64530e+02       6.58363e-07
       3.72130e+02       0.00000e+00
       3.79720e+02       6.58363e-07
